score,TARGET,score_bin
728.2,0,"(725.226, 729.815]"
732.42,0,"(729.815, 733.84]"
725.73,0,"(725.226, 729.815]"
750.93,0,"(747.821, 763.22]"
701.41,0,"(692.399, 706.339]"
738.16,0,"(733.84, 738.213]"
745.96,0,"(742.46, 747.821]"
733.19,0,"(729.815, 733.84]"
721.63,1,"(719.884, 725.226]"
701.57,1,"(692.399, 706.339]"
722.57,0,"(719.884, 725.226]"
757.92,0,"(747.821, 763.22]"
751.83,0,"(747.821, 763.22]"
713.97,1,"(706.339, 714.108]"
740.76,0,"(738.213, 742.46]"
715.56,0,"(714.108, 719.884]"
708.98,0,"(706.339, 714.108]"
722.82,0,"(719.884, 725.226]"
707.96,0,"(706.339, 714.108]"
720.47,0,"(719.884, 725.226]"
732.81,0,"(729.815, 733.84]"
730.02,0,"(729.815, 733.84]"
723.65,0,"(719.884, 725.226]"
731.62,1,"(729.815, 733.84]"
731.03,0,"(729.815, 733.84]"
728.31,0,"(725.226, 729.815]"
723.6,0,"(719.884, 725.226]"
727.98,0,"(725.226, 729.815]"
712.94,0,"(706.339, 714.108]"
739.81,0,"(738.213, 742.46]"
716.88,0,"(714.108, 719.884]"
733.71,0,"(729.815, 733.84]"
732.07,0,"(729.815, 733.84]"
735.31,0,"(733.84, 738.213]"
704.66,0,"(692.399, 706.339]"
722.38,0,"(719.884, 725.226]"
703.62,1,"(692.399, 706.339]"
734.47,0,"(733.84, 738.213]"
735.34,0,"(733.84, 738.213]"
732.53,0,"(729.815, 733.84]"
732.45,0,"(729.815, 733.84]"
738.17,0,"(733.84, 738.213]"
725.99,1,"(725.226, 729.815]"
736.27,0,"(733.84, 738.213]"
745.06,0,"(742.46, 747.821]"
733.53,0,"(729.815, 733.84]"
726.84,0,"(725.226, 729.815]"
745.46,0,"(742.46, 747.821]"
753.38,0,"(747.821, 763.22]"
734.98,0,"(733.84, 738.213]"
761.4,0,"(747.821, 763.22]"
742.62,0,"(742.46, 747.821]"
741.16,0,"(738.213, 742.46]"
708.47,0,"(706.339, 714.108]"
740.18,0,"(738.213, 742.46]"
736.72,0,"(733.84, 738.213]"
703.37,0,"(692.399, 706.339]"
713.81,0,"(706.339, 714.108]"
696.91,0,"(692.399, 706.339]"
730.83,0,"(729.815, 733.84]"
712.57,0,"(706.339, 714.108]"
720.77,0,"(719.884, 725.226]"
748.78,0,"(747.821, 763.22]"
720.4,0,"(719.884, 725.226]"
739.74,0,"(738.213, 742.46]"
740.31,0,"(738.213, 742.46]"
737.65,0,"(733.84, 738.213]"
738.19,0,"(733.84, 738.213]"
748.65,0,"(747.821, 763.22]"
714.34,0,"(714.108, 719.884]"
745.74,0,"(742.46, 747.821]"
733.51,0,"(729.815, 733.84]"
697.74,0,"(692.399, 706.339]"
709.64,0,"(706.339, 714.108]"
704.77,1,"(692.399, 706.339]"
707.1,0,"(706.339, 714.108]"
715.78,0,"(714.108, 719.884]"
731.25,0,"(729.815, 733.84]"
717.49,0,"(714.108, 719.884]"
732.11,0,"(729.815, 733.84]"
730.28,0,"(729.815, 733.84]"
708.71,0,"(706.339, 714.108]"
749.13,0,"(747.821, 763.22]"
744.0,0,"(742.46, 747.821]"
752.59,0,"(747.821, 763.22]"
710.97,0,"(706.339, 714.108]"
746.41,1,"(742.46, 747.821]"
697.45,1,"(692.399, 706.339]"
738.48,0,"(738.213, 742.46]"
727.74,0,"(725.226, 729.815]"
705.36,1,"(692.399, 706.339]"
743.33,1,"(742.46, 747.821]"
716.34,0,"(714.108, 719.884]"
750.04,0,"(747.821, 763.22]"
741.99,0,"(738.213, 742.46]"
725.93,0,"(725.226, 729.815]"
728.5,0,"(725.226, 729.815]"
741.49,0,"(738.213, 742.46]"
714.44,0,"(714.108, 719.884]"
718.85,1,"(714.108, 719.884]"
734.19,0,"(733.84, 738.213]"
754.88,0,"(747.821, 763.22]"
733.65,1,"(729.815, 733.84]"
738.99,0,"(738.213, 742.46]"
726.07,0,"(725.226, 729.815]"
724.5,0,"(719.884, 725.226]"
713.09,0,"(706.339, 714.108]"
717.53,0,"(714.108, 719.884]"
729.79,0,"(725.226, 729.815]"
728.31,0,"(725.226, 729.815]"
721.48,0,"(719.884, 725.226]"
719.07,0,"(714.108, 719.884]"
730.73,0,"(729.815, 733.84]"
728.63,1,"(725.226, 729.815]"
715.53,0,"(714.108, 719.884]"
720.87,0,"(719.884, 725.226]"
730.02,0,"(729.815, 733.84]"
715.29,0,"(714.108, 719.884]"
730.91,1,"(729.815, 733.84]"
710.45,0,"(706.339, 714.108]"
711.52,0,"(706.339, 714.108]"
725.5,0,"(725.226, 729.815]"
737.23,0,"(733.84, 738.213]"
737.01,0,"(733.84, 738.213]"
742.58,0,"(742.46, 747.821]"
700.42,0,"(692.399, 706.339]"
724.22,0,"(719.884, 725.226]"
742.72,0,"(742.46, 747.821]"
716.38,0,"(714.108, 719.884]"
741.58,0,"(738.213, 742.46]"
703.55,0,"(692.399, 706.339]"
727.46,0,"(725.226, 729.815]"
725.48,0,"(725.226, 729.815]"
724.55,0,"(719.884, 725.226]"
753.14,0,"(747.821, 763.22]"
734.39,0,"(733.84, 738.213]"
734.72,0,"(733.84, 738.213]"
738.85,0,"(738.213, 742.46]"
742.15,0,"(738.213, 742.46]"
737.13,0,"(733.84, 738.213]"
731.28,0,"(729.815, 733.84]"
743.09,0,"(742.46, 747.821]"
748.86,0,"(747.821, 763.22]"
745.34,0,"(742.46, 747.821]"
721.5,0,"(719.884, 725.226]"
745.53,0,"(742.46, 747.821]"
742.57,0,"(742.46, 747.821]"
747.97,0,"(747.821, 763.22]"
723.39,1,"(719.884, 725.226]"
706.34,0,"(706.339, 714.108]"
711.99,0,"(706.339, 714.108]"
730.8,0,"(729.815, 733.84]"
746.37,0,"(742.46, 747.821]"
719.63,0,"(714.108, 719.884]"
707.24,0,"(706.339, 714.108]"
703.82,0,"(692.399, 706.339]"
708.52,1,"(706.339, 714.108]"
754.04,0,"(747.821, 763.22]"
719.2,0,"(714.108, 719.884]"
700.79,0,"(692.399, 706.339]"
742.0,0,"(738.213, 742.46]"
732.4,0,"(729.815, 733.84]"
701.62,0,"(692.399, 706.339]"
737.12,0,"(733.84, 738.213]"
733.3,0,"(729.815, 733.84]"
713.35,0,"(706.339, 714.108]"
737.35,0,"(733.84, 738.213]"
718.51,0,"(714.108, 719.884]"
744.5,0,"(742.46, 747.821]"
744.42,0,"(742.46, 747.821]"
732.81,0,"(729.815, 733.84]"
714.4,1,"(714.108, 719.884]"
716.63,1,"(714.108, 719.884]"
703.85,0,"(692.399, 706.339]"
749.01,0,"(747.821, 763.22]"
749.51,0,"(747.821, 763.22]"
736.82,0,"(733.84, 738.213]"
742.03,0,"(738.213, 742.46]"
715.64,1,"(714.108, 719.884]"
706.01,0,"(692.399, 706.339]"
729.14,0,"(725.226, 729.815]"
737.11,0,"(733.84, 738.213]"
739.81,0,"(738.213, 742.46]"
723.22,0,"(719.884, 725.226]"
726.69,0,"(725.226, 729.815]"
758.08,0,"(747.821, 763.22]"
737.76,0,"(733.84, 738.213]"
758.26,0,"(747.821, 763.22]"
712.06,0,"(706.339, 714.108]"
712.33,1,"(706.339, 714.108]"
722.4,0,"(719.884, 725.226]"
710.26,0,"(706.339, 714.108]"
720.18,0,"(719.884, 725.226]"
732.59,0,"(729.815, 733.84]"
729.0,0,"(725.226, 729.815]"
736.81,0,"(733.84, 738.213]"
726.62,0,"(725.226, 729.815]"
701.72,0,"(692.399, 706.339]"
743.21,0,"(742.46, 747.821]"
722.32,0,"(719.884, 725.226]"
720.46,0,"(719.884, 725.226]"
740.89,0,"(738.213, 742.46]"
705.95,0,"(692.399, 706.339]"
727.85,0,"(725.226, 729.815]"
717.35,0,"(714.108, 719.884]"
744.37,0,"(742.46, 747.821]"
738.58,0,"(738.213, 742.46]"
698.64,0,"(692.399, 706.339]"
698.36,1,"(692.399, 706.339]"
726.31,0,"(725.226, 729.815]"
713.8,0,"(706.339, 714.108]"
725.7,1,"(725.226, 729.815]"
745.33,0,"(742.46, 747.821]"
705.06,0,"(692.399, 706.339]"
704.07,0,"(692.399, 706.339]"
721.65,0,"(719.884, 725.226]"
732.66,0,"(729.815, 733.84]"
732.87,0,"(729.815, 733.84]"
742.18,0,"(738.213, 742.46]"
725.42,1,"(725.226, 729.815]"
738.46,1,"(738.213, 742.46]"
712.65,0,"(706.339, 714.108]"
730.03,0,"(729.815, 733.84]"
707.05,0,"(706.339, 714.108]"
747.53,0,"(742.46, 747.821]"
745.12,0,"(742.46, 747.821]"
750.14,0,"(747.821, 763.22]"
741.65,0,"(738.213, 742.46]"
710.68,0,"(706.339, 714.108]"
725.23,0,"(725.226, 729.815]"
744.65,0,"(742.46, 747.821]"
702.8,0,"(692.399, 706.339]"
747.48,0,"(742.46, 747.821]"
730.19,0,"(729.815, 733.84]"
733.78,0,"(729.815, 733.84]"
725.74,0,"(725.226, 729.815]"
723.15,0,"(719.884, 725.226]"
698.05,0,"(692.399, 706.339]"
722.71,0,"(719.884, 725.226]"
701.38,0,"(692.399, 706.339]"
705.64,1,"(692.399, 706.339]"
728.56,0,"(725.226, 729.815]"
701.71,0,"(692.399, 706.339]"
725.95,0,"(725.226, 729.815]"
741.21,0,"(738.213, 742.46]"
731.59,0,"(729.815, 733.84]"
741.2,0,"(738.213, 742.46]"
717.59,0,"(714.108, 719.884]"
723.2,0,"(719.884, 725.226]"
741.03,1,"(738.213, 742.46]"
734.01,0,"(733.84, 738.213]"
730.72,0,"(729.815, 733.84]"
736.92,0,"(733.84, 738.213]"
709.82,0,"(706.339, 714.108]"
699.12,1,"(692.399, 706.339]"
740.37,0,"(738.213, 742.46]"
742.68,0,"(742.46, 747.821]"
718.25,0,"(714.108, 719.884]"
712.35,1,"(706.339, 714.108]"
746.45,0,"(742.46, 747.821]"
746.95,0,"(742.46, 747.821]"
734.22,0,"(733.84, 738.213]"
712.84,0,"(706.339, 714.108]"
704.84,0,"(692.399, 706.339]"
724.79,0,"(719.884, 725.226]"
730.33,0,"(729.815, 733.84]"
706.36,0,"(706.339, 714.108]"
748.24,0,"(747.821, 763.22]"
717.83,0,"(714.108, 719.884]"
727.97,0,"(725.226, 729.815]"
743.56,0,"(742.46, 747.821]"
734.96,0,"(733.84, 738.213]"
739.16,0,"(738.213, 742.46]"
716.75,0,"(714.108, 719.884]"
714.31,0,"(714.108, 719.884]"
737.59,0,"(733.84, 738.213]"
716.1,0,"(714.108, 719.884]"
708.85,0,"(706.339, 714.108]"
716.8,0,"(714.108, 719.884]"
699.54,1,"(692.399, 706.339]"
736.51,0,"(733.84, 738.213]"
725.79,0,"(725.226, 729.815]"
735.32,0,"(733.84, 738.213]"
715.26,0,"(714.108, 719.884]"
701.6,0,"(692.399, 706.339]"
725.45,0,"(725.226, 729.815]"
727.68,0,"(725.226, 729.815]"
727.74,0,"(725.226, 729.815]"
722.98,0,"(719.884, 725.226]"
741.65,0,"(738.213, 742.46]"
704.14,0,"(692.399, 706.339]"
729.06,0,"(725.226, 729.815]"
733.5,1,"(729.815, 733.84]"
725.61,0,"(725.226, 729.815]"
742.67,0,"(742.46, 747.821]"
743.07,0,"(742.46, 747.821]"
737.36,0,"(733.84, 738.213]"
740.1,0,"(738.213, 742.46]"
737.15,0,"(733.84, 738.213]"
730.09,0,"(729.815, 733.84]"
717.69,0,"(714.108, 719.884]"
704.38,1,"(692.399, 706.339]"
746.37,0,"(742.46, 747.821]"
706.87,0,"(706.339, 714.108]"
732.01,0,"(729.815, 733.84]"
715.86,0,"(714.108, 719.884]"
749.83,0,"(747.821, 763.22]"
729.2,0,"(725.226, 729.815]"
740.09,0,"(738.213, 742.46]"
715.74,1,"(714.108, 719.884]"
725.77,0,"(725.226, 729.815]"
728.38,0,"(725.226, 729.815]"
718.8,0,"(714.108, 719.884]"
708.28,0,"(706.339, 714.108]"
728.26,1,"(725.226, 729.815]"
692.4,0,"(692.399, 706.339]"
739.17,0,"(738.213, 742.46]"
721.51,0,"(719.884, 725.226]"
720.74,0,"(719.884, 725.226]"
723.81,1,"(719.884, 725.226]"
699.4,0,"(692.399, 706.339]"
714.78,0,"(714.108, 719.884]"
736.68,0,"(733.84, 738.213]"
748.39,0,"(747.821, 763.22]"
738.69,1,"(738.213, 742.46]"
741.35,0,"(738.213, 742.46]"
718.57,0,"(714.108, 719.884]"
736.74,1,"(733.84, 738.213]"
743.86,0,"(742.46, 747.821]"
737.5,0,"(733.84, 738.213]"
714.61,0,"(714.108, 719.884]"
727.59,0,"(725.226, 729.815]"
724.07,1,"(719.884, 725.226]"
715.89,0,"(714.108, 719.884]"
754.48,0,"(747.821, 763.22]"
754.32,0,"(747.821, 763.22]"
728.12,0,"(725.226, 729.815]"
724.21,0,"(719.884, 725.226]"
739.81,0,"(738.213, 742.46]"
727.78,0,"(725.226, 729.815]"
728.93,0,"(725.226, 729.815]"
723.31,0,"(719.884, 725.226]"
742.94,0,"(742.46, 747.821]"
718.78,0,"(714.108, 719.884]"
742.74,0,"(742.46, 747.821]"
735.24,0,"(733.84, 738.213]"
726.43,1,"(725.226, 729.815]"
710.64,0,"(706.339, 714.108]"
734.98,0,"(733.84, 738.213]"
704.94,1,"(692.399, 706.339]"
728.63,0,"(725.226, 729.815]"
720.9,0,"(719.884, 725.226]"
733.53,0,"(729.815, 733.84]"
736.03,0,"(733.84, 738.213]"
739.32,0,"(738.213, 742.46]"
743.3,0,"(742.46, 747.821]"
724.78,0,"(719.884, 725.226]"
701.98,0,"(692.399, 706.339]"
740.57,0,"(738.213, 742.46]"
757.07,0,"(747.821, 763.22]"
743.93,0,"(742.46, 747.821]"
731.38,0,"(729.815, 733.84]"
740.54,0,"(738.213, 742.46]"
744.25,0,"(742.46, 747.821]"
746.29,0,"(742.46, 747.821]"
740.08,0,"(738.213, 742.46]"
725.34,0,"(725.226, 729.815]"
754.76,0,"(747.821, 763.22]"
750.12,0,"(747.821, 763.22]"
739.49,0,"(738.213, 742.46]"
739.94,0,"(738.213, 742.46]"
706.85,0,"(706.339, 714.108]"
749.67,0,"(747.821, 763.22]"
732.16,0,"(729.815, 733.84]"
749.96,0,"(747.821, 763.22]"
751.4,0,"(747.821, 763.22]"
712.49,0,"(706.339, 714.108]"
721.92,0,"(719.884, 725.226]"
710.92,0,"(706.339, 714.108]"
709.37,0,"(706.339, 714.108]"
711.9,0,"(706.339, 714.108]"
761.83,0,"(747.821, 763.22]"
738.35,0,"(738.213, 742.46]"
734.53,0,"(733.84, 738.213]"
737.86,0,"(733.84, 738.213]"
727.08,1,"(725.226, 729.815]"
731.83,0,"(729.815, 733.84]"
725.12,0,"(719.884, 725.226]"
706.32,0,"(692.399, 706.339]"
700.07,1,"(692.399, 706.339]"
717.47,0,"(714.108, 719.884]"
730.14,0,"(729.815, 733.84]"
730.84,0,"(729.815, 733.84]"
719.94,1,"(719.884, 725.226]"
726.72,0,"(725.226, 729.815]"
760.0,0,"(747.821, 763.22]"
725.94,0,"(725.226, 729.815]"
718.44,0,"(714.108, 719.884]"
712.69,0,"(706.339, 714.108]"
700.54,0,"(692.399, 706.339]"
749.94,0,"(747.821, 763.22]"
735.27,0,"(733.84, 738.213]"
739.9,0,"(738.213, 742.46]"
726.12,0,"(725.226, 729.815]"
735.02,0,"(733.84, 738.213]"
719.54,0,"(714.108, 719.884]"
730.11,0,"(729.815, 733.84]"
742.18,0,"(738.213, 742.46]"
728.31,0,"(725.226, 729.815]"
722.21,0,"(719.884, 725.226]"
711.91,0,"(706.339, 714.108]"
710.33,1,"(706.339, 714.108]"
715.71,0,"(714.108, 719.884]"
742.04,0,"(738.213, 742.46]"
740.57,0,"(738.213, 742.46]"
730.96,0,"(729.815, 733.84]"
759.27,0,"(747.821, 763.22]"
738.24,0,"(738.213, 742.46]"
751.52,0,"(747.821, 763.22]"
716.25,0,"(714.108, 719.884]"
739.91,0,"(738.213, 742.46]"
723.67,0,"(719.884, 725.226]"
733.08,0,"(729.815, 733.84]"
749.44,0,"(747.821, 763.22]"
751.41,0,"(747.821, 763.22]"
731.88,0,"(729.815, 733.84]"
722.55,0,"(719.884, 725.226]"
709.65,0,"(706.339, 714.108]"
731.2,0,"(729.815, 733.84]"
712.19,1,"(706.339, 714.108]"
700.36,0,"(692.399, 706.339]"
717.27,0,"(714.108, 719.884]"
713.55,0,"(706.339, 714.108]"
719.34,0,"(714.108, 719.884]"
731.19,1,"(729.815, 733.84]"
738.57,0,"(738.213, 742.46]"
751.56,0,"(747.821, 763.22]"
724.19,0,"(719.884, 725.226]"
727.07,0,"(725.226, 729.815]"
729.57,0,"(725.226, 729.815]"
728.53,0,"(725.226, 729.815]"
732.01,0,"(729.815, 733.84]"
729.29,0,"(725.226, 729.815]"
712.48,0,"(706.339, 714.108]"
716.69,0,"(714.108, 719.884]"
740.57,0,"(738.213, 742.46]"
743.67,0,"(742.46, 747.821]"
710.3,0,"(706.339, 714.108]"
725.06,0,"(719.884, 725.226]"
713.67,0,"(706.339, 714.108]"
726.2,0,"(725.226, 729.815]"
742.11,0,"(738.213, 742.46]"
731.76,0,"(729.815, 733.84]"
734.52,0,"(733.84, 738.213]"
747.62,0,"(742.46, 747.821]"
716.14,0,"(714.108, 719.884]"
739.31,0,"(738.213, 742.46]"
733.57,0,"(729.815, 733.84]"
729.74,0,"(725.226, 729.815]"
714.41,1,"(714.108, 719.884]"
730.43,0,"(729.815, 733.84]"
711.04,0,"(706.339, 714.108]"
729.78,0,"(725.226, 729.815]"
723.73,0,"(719.884, 725.226]"
711.96,0,"(706.339, 714.108]"
723.72,0,"(719.884, 725.226]"
715.83,1,"(714.108, 719.884]"
756.98,0,"(747.821, 763.22]"
751.51,0,"(747.821, 763.22]"
715.57,0,"(714.108, 719.884]"
749.42,0,"(747.821, 763.22]"
702.69,0,"(692.399, 706.339]"
736.88,0,"(733.84, 738.213]"
712.1,0,"(706.339, 714.108]"
747.86,0,"(747.821, 763.22]"
724.5,0,"(719.884, 725.226]"
744.06,0,"(742.46, 747.821]"
748.21,0,"(747.821, 763.22]"
746.81,0,"(742.46, 747.821]"
714.48,0,"(714.108, 719.884]"
716.81,0,"(714.108, 719.884]"
722.57,0,"(719.884, 725.226]"
723.08,0,"(719.884, 725.226]"
697.62,0,"(692.399, 706.339]"
730.35,0,"(729.815, 733.84]"
733.95,0,"(733.84, 738.213]"
723.54,0,"(719.884, 725.226]"
706.7,0,"(706.339, 714.108]"
746.49,0,"(742.46, 747.821]"
729.29,0,"(725.226, 729.815]"
738.1,0,"(733.84, 738.213]"
718.71,0,"(714.108, 719.884]"
716.71,0,"(714.108, 719.884]"
749.05,0,"(747.821, 763.22]"
734.4,0,"(733.84, 738.213]"
701.25,0,"(692.399, 706.339]"
713.54,0,"(706.339, 714.108]"
733.82,0,"(729.815, 733.84]"
751.79,0,"(747.821, 763.22]"
726.9,0,"(725.226, 729.815]"
719.81,0,"(714.108, 719.884]"
739.84,0,"(738.213, 742.46]"
725.2,0,"(719.884, 725.226]"
717.93,0,"(714.108, 719.884]"
738.49,0,"(738.213, 742.46]"
703.1,1,"(692.399, 706.339]"
725.03,0,"(719.884, 725.226]"
730.3,0,"(729.815, 733.84]"
732.31,0,"(729.815, 733.84]"
731.98,0,"(729.815, 733.84]"
732.25,0,"(729.815, 733.84]"
706.66,1,"(706.339, 714.108]"
729.17,0,"(725.226, 729.815]"
742.46,0,"(738.213, 742.46]"
731.61,0,"(729.815, 733.84]"
749.99,0,"(747.821, 763.22]"
716.49,0,"(714.108, 719.884]"
732.26,0,"(729.815, 733.84]"
731.59,0,"(729.815, 733.84]"
721.45,0,"(719.884, 725.226]"
734.9,0,"(733.84, 738.213]"
742.69,0,"(742.46, 747.821]"
729.26,0,"(725.226, 729.815]"
748.21,0,"(747.821, 763.22]"
732.5,0,"(729.815, 733.84]"
719.5,0,"(714.108, 719.884]"
735.13,0,"(733.84, 738.213]"
733.11,0,"(729.815, 733.84]"
732.35,1,"(729.815, 733.84]"
746.46,0,"(742.46, 747.821]"
745.53,0,"(742.46, 747.821]"
728.19,0,"(725.226, 729.815]"
722.53,0,"(719.884, 725.226]"
720.02,0,"(719.884, 725.226]"
742.39,0,"(738.213, 742.46]"
728.57,0,"(725.226, 729.815]"
737.29,0,"(733.84, 738.213]"
701.09,1,"(692.399, 706.339]"
703.63,0,"(692.399, 706.339]"
732.99,0,"(729.815, 733.84]"
743.92,0,"(742.46, 747.821]"
738.78,0,"(738.213, 742.46]"
721.28,0,"(719.884, 725.226]"
739.98,0,"(738.213, 742.46]"
716.87,0,"(714.108, 719.884]"
728.26,0,"(725.226, 729.815]"
711.51,0,"(706.339, 714.108]"
709.15,0,"(706.339, 714.108]"
730.17,0,"(729.815, 733.84]"
757.85,0,"(747.821, 763.22]"
752.65,0,"(747.821, 763.22]"
723.37,0,"(719.884, 725.226]"
754.14,0,"(747.821, 763.22]"
752.28,0,"(747.821, 763.22]"
737.61,0,"(733.84, 738.213]"
751.32,0,"(747.821, 763.22]"
748.96,0,"(747.821, 763.22]"
725.7,0,"(725.226, 729.815]"
746.16,0,"(742.46, 747.821]"
705.39,0,"(692.399, 706.339]"
746.53,0,"(742.46, 747.821]"
717.18,0,"(714.108, 719.884]"
719.77,0,"(714.108, 719.884]"
734.56,0,"(733.84, 738.213]"
747.65,0,"(742.46, 747.821]"
744.86,0,"(742.46, 747.821]"
747.49,0,"(742.46, 747.821]"
703.49,0,"(692.399, 706.339]"
746.01,0,"(742.46, 747.821]"
714.93,0,"(714.108, 719.884]"
746.61,0,"(742.46, 747.821]"
737.75,0,"(733.84, 738.213]"
725.13,0,"(719.884, 725.226]"
708.5,0,"(706.339, 714.108]"
731.52,0,"(729.815, 733.84]"
735.84,0,"(733.84, 738.213]"
752.73,0,"(747.821, 763.22]"
718.07,0,"(714.108, 719.884]"
705.57,1,"(692.399, 706.339]"
716.98,1,"(714.108, 719.884]"
745.8,0,"(742.46, 747.821]"
718.45,0,"(714.108, 719.884]"
721.98,0,"(719.884, 725.226]"
711.27,1,"(706.339, 714.108]"
755.81,0,"(747.821, 763.22]"
725.65,0,"(725.226, 729.815]"
725.81,0,"(725.226, 729.815]"
715.45,0,"(714.108, 719.884]"
744.19,0,"(742.46, 747.821]"
740.74,0,"(738.213, 742.46]"
723.41,0,"(719.884, 725.226]"
723.56,0,"(719.884, 725.226]"
723.72,0,"(719.884, 725.226]"
724.46,0,"(719.884, 725.226]"
759.35,0,"(747.821, 763.22]"
740.64,0,"(738.213, 742.46]"
716.8,0,"(714.108, 719.884]"
699.89,0,"(692.399, 706.339]"
700.68,0,"(692.399, 706.339]"
734.16,0,"(733.84, 738.213]"
720.34,0,"(719.884, 725.226]"
729.75,0,"(725.226, 729.815]"
714.44,0,"(714.108, 719.884]"
705.02,0,"(692.399, 706.339]"
720.72,0,"(719.884, 725.226]"
739.92,0,"(738.213, 742.46]"
720.55,0,"(719.884, 725.226]"
751.65,0,"(747.821, 763.22]"
726.03,0,"(725.226, 729.815]"
734.98,0,"(733.84, 738.213]"
743.16,0,"(742.46, 747.821]"
745.64,0,"(742.46, 747.821]"
737.7,0,"(733.84, 738.213]"
734.43,0,"(733.84, 738.213]"
754.34,0,"(747.821, 763.22]"
729.7,0,"(725.226, 729.815]"
721.26,0,"(719.884, 725.226]"
699.94,0,"(692.399, 706.339]"
736.66,0,"(733.84, 738.213]"
741.5,0,"(738.213, 742.46]"
729.93,0,"(729.815, 733.84]"
741.46,0,"(738.213, 742.46]"
723.27,0,"(719.884, 725.226]"
732.41,0,"(729.815, 733.84]"
698.14,0,"(692.399, 706.339]"
718.38,0,"(714.108, 719.884]"
739.97,0,"(738.213, 742.46]"
714.64,0,"(714.108, 719.884]"
719.26,0,"(714.108, 719.884]"
748.15,0,"(747.821, 763.22]"
703.48,0,"(692.399, 706.339]"
733.01,0,"(729.815, 733.84]"
718.19,0,"(714.108, 719.884]"
752.08,0,"(747.821, 763.22]"
