bin_label,count,bad,good,bad_rate,bad_pct,good_pct,woe,iv,feature,is_cat
"(16.0, 20.0]",32215,2651,29564,0.08229085829582493,0.10680550240679947,0.10458405335946358,-0.021018359395680263,4.669121445609718e-05,PREV_CNT_PAYMENT_MEAN,False
"(20.0, 25.0]",28968,2558,26410,0.08830433581883458,0.1030593542929649,0.09342681734005692,-0.09812664995189813,0.000945208581726724,PREV_CNT_PAYMENT_MEAN,False
"(25.0, inf]",30523,3273,27250,0.10723061298037545,0.13186038549072526,0.09639830695841506,-0.3132550383755969,0.011108674771517262,PREV_CNT_PAYMENT_MEAN,False
"(-inf, 1.079]",123174,8025,115149,0.06515173656778216,0.3232764697589172,0.4073399331061087,0.2311401526823746,0.019430441753079043,CREDIT_GOODS_RATIO,False
"(1.079, 1.145]",61419,4115,57304,0.06699881144271316,0.1657771243278081,0.20271396051810045,0.2011516621965501,0.00742990599595899,CREDIT_GOODS_RATIO,False
"(1.145, 1.166]",30670,2644,28026,0.08620802086729704,0.10652353426919901,0.09914339736775545,-0.07179867939976566,0.0005298840833131267,CREDIT_GOODS_RATIO,False
"(1.166, 1.211]",31203,2799,28404,0.08970291318142486,0.11276711445892329,0.10048056769601661,-0.11536040552877237,0.0014173810171171398,CREDIT_GOODS_RATIO,False
"(1.211, 1.277]",30304,3378,26926,0.11147043294614573,0.13608990755473202,0.09525216096276264,-0.3567880512543549,0.01457042002416793,CREDIT_GOODS_RATIO,False
"(1.277, inf]",30741,3864,26877,0.12569532546111056,0.15566655253670622,0.09507882406835841,-0.4930099612289028,0.029870353663127444,CREDIT_GOODS_RATIO,False
"(-inf, -1100.4]",92257,5998,86259,0.06501403687525066,0.24162655334232946,0.30514191516043393,0.23338359775929232,0.014823443654092406,PREV_DAYS_DECISION_MEAN,False
"(-1100.4, -999.0]",31974,2112,29862,0.06605366860574216,0.08509395581156472,0.10563822467645254,0.21626427336137594,0.004442991377805704,PREV_DAYS_DECISION_MEAN,False
"(-999.0, -830.8]",29526,2179,27347,0.07379936327304748,0.08779279370002618,0.09674144325958262,0.09706246527413849,0.0008685779871248809,PREV_DAYS_DECISION_MEAN,False
"(-830.8, -681.667]",30753,2476,28277,0.08051247032809807,0.09975629896678818,0.10003130676562198,0.002753003335883545,7.57097387583438e-07,PREV_DAYS_DECISION_MEAN,False
"(-681.667, -545.0]",30838,2686,28152,0.08710033076074973,0.10821534309480171,0.09958912081050916,-0.08307022963905572,0.000716582266073722,PREV_DAYS_DECISION_MEAN,False
"(-545.0, -422.0]",30734,2867,27867,0.09328431053556321,0.1155062335098991,0.09858093683285193,-0.15844659378110745,0.002681755607212819,PREV_DAYS_DECISION_MEAN,False
"(-422.0, -304.333]",30682,3131,27551,0.10204680268561371,0.12614046041368754,0.09746309073832674,-0.25792230144694195,0.007396533186113801,PREV_DAYS_DECISION_MEAN,False
"(-304.333, inf]",30747,3376,27371,0.10979933001593652,0.13600934522970332,0.09682634296296427,-0.3398045029927375,0.013314560611012568,PREV_DAYS_DECISION_MEAN,False
"(-inf, -22181.0]",30757,1508,29249,0.04902948922196573,0.06076413365289722,0.10346974475257927,0.5322795408563281,0.022731323068127668,DAYS_BIRTH,False
"(-22181.0, -20474.0]",30756,1668,29088,0.054233320327740926,0.06720911965519324,0.10290020924239396,0.4259507288156054,0.01520264562189121,DAYS_BIRTH,False
"(-20474.0, -18885.0]",30757,1950,28807,0.0634002015801281,0.07856840748424,0.10190617521530033,0.260082860900098,0.006069753398516161,DAYS_BIRTH,False
"(-18885.0, -17220.0]",30741,2194,28547,0.07137048241761816,0.08839701113774144,0.10098642842866568,0.1331479774061542,0.001676255449008627,DAYS_BIRTH,False
"(-17220.0, -15750.0]",30761,2397,28364,0.07792334449465232,0.09657408712815452,0.1003390681903805,0.03824467644869117,0.00014399048256028254,DAYS_BIRTH,False
"(-15750.0, -14416.0]",30756,2434,28322,0.07913902978280661,0.09806449014118547,0.1001904937094626,0.021447986083527867,4.5598494945938576e-05,DAYS_BIRTH,False
"(-14416.0, -13140.0]",30740,2721,28019,0.08851659076122316,0.10962518378280398,0.09911863495426913,-0.10074966158068943,0.0010585312388558745,DAYS_BIRTH,False
"(-13140.0, -11694.0]",30755,3015,27740,0.09803284018858723,0.12146784556202292,0.09813167590245732,-0.21333937371268047,0.004978523820024581,DAYS_BIRTH,False
"(-11694.0, -10284.0]",30764,3380,27384,0.10986867767520478,0.13617046987976072,0.096872330302296,-0.3405136266914848,0.013381552029750688,DAYS_BIRTH,False
"(-10284.0, inf]",30724,3558,27166,0.11580523369352949,0.14334051680731505,0.09610115799657926,-0.3998216702079856,0.018887319339262704,DAYS_BIRTH,False
"(-inf, -2158.0]",30805,1661,29144,0.05391981821132933,0.06692715151759279,0.1030983085502845,0.4320782478951781,0.015628770155026783,DAYS_LAST_PHONE_CHANGE,False
"(-2158.0, -1720.0]",30746,1872,28874,0.060885968906524424,0.07542647680812069,0.10214318688724082,0.30321725722411996,0.008100967552242808,DAYS_LAST_PHONE_CHANGE,False
"(-1720.0, -1426.0]",30743,2012,28731,0.06544579253813876,0.08106583956012971,0.10163732615459174,0.22614919250955542,0.004652225082058733,DAYS_LAST_PHONE_CHANGE,False
"(-1426.0, -1060.0]",30726,2201,28525,0.0716331445681182,0.0886789792753419,0.10090860370056583,0.12919231882327176,0.001579973537832402,DAYS_LAST_PHONE_CHANGE,False
"(-1060.0, -757.0]",30798,2540,28258,0.08247288784986039,0.1023342933677066,0.09996409450044484,-0.02343377380160804,5.55427041202395e-05,DAYS_LAST_PHONE_CHANGE,False
"(-757.0, -364.0]",61451,5700,55751,0.092756830645555,0.2296227669130531,0.19722024221177878,-0.1521167335251284,0.004928966215525138,DAYS_LAST_PHONE_CHANGE,False
"(-364.0, inf]",92242,8839,83403,0.09582402809999783,0.35606533604559826,0.2950388504580162,-0.18800719809430713,0.011473418564863919,DAYS_LAST_PHONE_CHANGE,False
"(-inf, 0.0849]",92254,12245,80009,0.13273137208142735,0.49326297556947496,0.28303261740479296,-0.5554803039812471,0.11677882325940402,EXT_SOURCE_2_3,False
"(0.0849, 0.148]",30751,3667,27084,0.11924815453155994,0.14773116352137922,0.09581108401002524,-0.43301578153932985,0.02248221380719309,EXT_SOURCE_2_3,False
"(0.148, 0.207]",30751,2609,28142,0.08484276934083444,0.10511369358119675,0.09955374593410014,-0.0543449018958691,0.00030215480942763343,EXT_SOURCE_2_3,False
"(0.207, 0.264]",30751,1961,28790,0.06377028389320673,0.07901150027189785,0.101846037925405,0.2538688259058156,0.005796977264197999,EXT_SOURCE_2_3,False
"(0.264, 0.322]",30751,1597,29154,0.051933270462749176,0.06434915711667438,0.10313368342669353,0.4717022084991186,0.018294746716028203,EXT_SOURCE_2_3,False
"(0.322, 0.383]",30751,1181,29570,0.03840525511365484,0.04759219351070472,0.104605278285309,0.7875252660646658,0.04489924475628758,EXT_SOURCE_2_3,False
"(0.383, 0.455]",30751,937,29814,0.030470553803128353,0.03776358985720328,0.10546842526968922,1.0270662144484872,0.06953734900695982,EXT_SOURCE_2_3,False
"(0.455, inf]",30751,628,30123,0.020422100094305878,0.025316710640269077,0.1065615089507281,1.4372576899504843,0.11676971114018335,EXT_SOURCE_2_3,False
"(-inf, 542.0]",92301,10490,81811,0.11364990628487232,0.42256953535679037,0.2894071701336993,-0.37851942423160895,0.05040454181356365,BUREAU_DAYS_CREDIT_MEAN,False
"(542.0, 747.444]",30704,2900,27804,0.09445023449713393,0.11683551187287265,0.09835807511147508,-0.17215241686476995,0.0031809353959405392,BUREAU_DAYS_CREDIT_MEAN,False
"(747.444, 927.6]",30752,2480,28272,0.08064516129032258,0.09991742361684558,0.10001361932741748,0.0009622889630184009,9.256807057305211e-08,BUREAU_DAYS_CREDIT_MEAN,False
"(927.6, 1098.5]",30751,2161,28590,0.07027413742642516,0.08706773277476788,0.10113854039722449,0.1498049106467754,0.002107876078610078,BUREAU_DAYS_CREDIT_MEAN,False
"(1098.5, 1270.0]",30776,1944,28832,0.06316610345723941,0.07832672050915389,0.1019946124063229,0.2640311894629316,0.006249061649689616,BUREAU_DAYS_CREDIT_MEAN,False
"(1270.0, 1464.1]",30725,1738,28987,0.05656631407648495,0.07002880103119775,0.1025429229906628,0.38137487107451085,0.012400069070391902,BUREAU_DAYS_CREDIT_MEAN,False
"(1464.1, 1746.167]",30753,1574,29179,0.05118199850421097,0.06342269037884433,0.10322212061771609,0.48706148732354176,0.019384769686774418,BUREAU_DAYS_CREDIT_MEAN,False
"(1746.167, inf]",30749,1538,29211,0.050017886760545055,0.06197256852832773,0.10333532022222497,0.5112873925364644,0.021148253461705947,BUREAU_DAYS_CREDIT_MEAN,False
"(-inf, 0.08]",31609,2258,29351,0.07143535069125882,0.09097500553865985,0.10383056849195132,0.13217561713967174,0.0016991919670292018,ANNUITY_INCOME_RATIO,False
"(0.08, 0.104]",29894,2168,27726,0.07252291429718338,0.08734970091236834,0.09808215107548468,0.11588579123359431,0.0012437384790278559,ANNUITY_INCOME_RATIO,False
"(0.104, 0.125]",30765,2405,28360,0.07817324882171299,0.09689633642826932,0.1003249182398169,0.034772390775224635,0.00011921998655596001,ANNUITY_INCOME_RATIO,False
"(0.125, 0.144]",30745,2412,28333,0.07845178077736217,0.09717830456586977,0.10022940607351254,0.03091413688548277,9.432216965877119e-05,ANNUITY_INCOME_RATIO,False
"(0.144, 0.163]",30743,2421,28322,0.07874963406303874,0.09754083502849892,0.1001904937094626,0.026802199862999747,7.101668153592103e-05,ANNUITY_INCOME_RATIO,False
"(0.163, 0.186]",30757,2576,28181,0.08375329193354358,0.1037844152182232,0.09969170795209534,-0.04023331353299753,0.0001646631746368992,ANNUITY_INCOME_RATIO,False
"(0.186, 0.212]",30749,2627,28122,0.08543367263976065,0.10583875450645505,0.09948299618128209,-0.06193001512548547,0.0003936122092118917,ANNUITY_INCOME_RATIO,False
"(0.212, inf]",92249,7958,84291,0.08626651779423083,0.3205776318704558,0.2981801394831377,-0.07242666937278003,0.0016221757759156447,ANNUITY_INCOME_RATIO,False
"(-inf, 7974.174]",92254,8071,84183,0.08748672144297266,0.32512940323457734,0.2977980908179202,-0.08780755760683608,0.0023998957894960566,PREV_ANNUITY_MEAN,False
"(7974.174, 9638.73]",30751,2624,28127,0.08533055835582583,0.10571791101891201,0.09950068361948661,-0.060609815288487696,0.00037682500428569827,PREV_ANNUITY_MEAN,False
"(9638.73, 13549.41]",61502,5056,56446,0.08220870865988097,0.2036816982538116,0.19967879612220604,-0.019848416499445735,7.945126871462635e-05,PREV_ANNUITY_MEAN,False
"(13549.41, 16184.34]",30751,2453,28298,0.07976976358492406,0.09882983222895812,0.10010559400608095,0.012826064121705076,1.636300235739777e-05,PREV_ANNUITY_MEAN,False
"(16184.34, 19875.375]",30753,2361,28392,0.07677299775631646,0.09512396527763792,0.10043811784432578,0.05436085638826932,0.00028888188450307186,PREV_ANNUITY_MEAN,False
"(19875.375, 26125.538]",30749,2344,28405,0.07623012130475788,0.09443918551489396,0.10048410518365751,0.0620434698000682,0.00037504779091276984,PREV_ANNUITY_MEAN,False
"(26125.538, inf]",30751,1916,28835,0.06230691684823258,0.07719884795875209,0.10200522486924561,0.2786395020753542,0.006912036510633477,PREV_ANNUITY_MEAN,False
"(-inf, 65308.32]",61503,6151,55352,0.10001138155862316,0.24778957120702502,0.19580878464305865,-0.23544128830646666,0.012238423355803715,BUREAU_CREDIT_SUM_MAX,False
"(65308.32, 1975500.0]",215257,16781,198476,0.07795797581495607,0.6759783287345673,0.7021081657595959,0.037926456990849566,0.000991012140107655,BUREAU_CREDIT_SUM_MAX,False
"(1975500.0, inf]",30751,1893,28858,0.06155897369191246,0.07627238122092203,0.10208658708498637,0.2915104495419273,0.007525110756001252,BUREAU_CREDIT_SUM_MAX,False
"(-inf, 16.0]",126699,11655,115044,0.09198967631946582,0.46949708968600834,0.4069684969038139,-0.14292632061517785,0.008936981699603814,POS_COUNT,False
"(16.0, 21.0]",32008,2643,29365,0.08257310672331918,0.10648325310668466,0.10388009331892396,-0.024750439832158088,6.442934970046457e-05,POS_COUNT,False
"(21.0, 26.0]",28752,2249,26503,0.07822064552031163,0.0906124750760307,0.09375580369066086,0.03410167140222742,0.0001071927595253367,POS_COUNT,False
"(26.0, 33.0]",28474,2106,26368,0.07396221113998735,0.08485226883647862,0.09327824285913901,0.09467515444762394,0.0007977303919670396,POS_COUNT,False
"(33.0, 43.0]",30574,2147,28427,0.07022306534964348,0.08650379649956698,0.10056192991175737,0.1505854525991073,0.002116950382573323,POS_COUNT,False
"(43.0, inf]",61004,4025,56979,0.06597928004721001,0.1621518197015166,0.20156427703480712,0.21757526822322792,0.00857517597562721,POS_COUNT,False
"(-inf, 0.787]",184507,12164,172343,0.06592703799855833,0.4900002014058126,0.6096630012398894,0.21850054538612293,0.02614638702617624,BUREAU_UTIL_MAX,False
"(0.787, 0.899]",30751,2139,28612,0.06955871353777113,0.08618154719945217,0.10121636512532434,0.16080436936259038,0.002417664415051242,BUREAU_UTIL_MAX,False
"(0.899, 0.956]",30751,2748,28003,0.08936294754642125,0.11071277517069143,0.09906203515201469,-0.11119296499658339,0.001295480327081017,BUREAU_UTIL_MAX,False
"(0.956, 1.0]",30751,3487,27264,0.11339468635166336,0.1404805542687962,0.0964478317853877,-0.3760668165082221,0.016559245766525447,BUREAU_UTIL_MAX,False
"(1.0, inf]",30751,4287,26464,0.1394101004845371,0.17270548428027632,0.09361784167266565,-0.6123667592793254,0.04843064340266404,BUREAU_UTIL_MAX,False
"(-inf, 0.00887]",63155,5649,57506,0.08944659963581664,0.22756842762482124,0.20342853302156275,-0.11213621981589093,0.002706956527563434,REGION_POPULATION_RELATIVE,False
"(0.00887, 0.0207]",124112,10858,113254,0.08748549697047828,0.43739300316207125,0.4006363940265984,-0.08777784378746592,0.0032264158948504787,REGION_POPULATION_RELATIVE,False
"(0.0207, 0.0252]",29104,2338,26766,0.08033260032985157,0.09419749853980786,0.09468616294021823,0.005174248389994248,2.528470987070868e-06,REGION_POPULATION_RELATIVE,False
"(0.0252, 0.0308]",34921,2609,32312,0.07471149165258727,0.10511369358119675,0.1143050693966638,0.08382836112595678,0.0007704979711033567,REGION_POPULATION_RELATIVE,False
"(0.0308, 0.0358]",34365,2374,31991,0.06908191473883311,0.09564762039032447,0.11316953586393408,0.16821619446675803,0.0029474699407388105,REGION_POPULATION_RELATIVE,False
"(0.0358, inf]",21854,997,20857,0.04562093895854306,0.04018045960806429,0.07378314847012503,0.6077495669708508,0.020422019604973647,REGION_POPULATION_RELATIVE,False
"(-inf, 0.99953]",184507,16922,167585,0.09171467749191088,0.6816579726490907,0.5928316350444751,-0.13961758764981244,0.012401718976124243,INST_RECENT_PAY_RATIO_6M,False
"(0.99953, 0.99988]",30751,2445,28306,0.07950960944359534,0.09850758292884333,0.10013389390720816,0.01637470021648777,2.663035472950695e-05,INST_RECENT_PAY_RATIO_6M,False
"(0.99988, 0.99993]",30751,2019,28732,0.06565640141784007,0.08134780769773016,0.10164086364223265,0.22271177119808588,0.0045195024324219965,INST_RECENT_PAY_RATIO_6M,False
"(0.99993, 0.99996]",30752,1805,28947,0.05869536940686785,0.07272763891965922,0.1024014234850267,0.3421791237275556,0.01015374960025771,INST_RECENT_PAY_RATIO_6M,False
"(0.99996, inf]",30750,1634,29116,0.053138211382113824,0.06583956012970535,0.10299925889633924,0.44750091757363014,0.016628999294828355,INST_RECENT_PAY_RATIO_6M,False
"(-inf, 17.0]",123256,10532,112724,0.08544817290841825,0.4242613441823931,0.39876152557692,-0.06198608518838181,0.0015806339283671372,INST_COUNT,False
"(17.0, 23.0]",31572,2614,28958,0.0827948815406056,0.1053150993937685,0.10244033584907662,-0.027676263091440726,7.956271218857512e-05,INST_COUNT,False
"(23.0, 31.0]",32294,2664,29630,0.08249210379637084,0.10732915751948602,0.10481752754376314,-0.023679345563898887,5.947375412378902e-05,INST_COUNT,False
"(31.0, 58.0]",59577,4633,54944,0.07776490927707001,0.18664276651024148,0.1943654896855704,0.04054390376241285,0.0003131093452042916,INST_COUNT,False
"(58.0, 95.0]",30152,2245,27907,0.0744560891483152,0.0904513504259733,0.09872243633848804,0.08750009731973418,0.0007237208222849223,INST_COUNT,False
"(95.0, inf]",30660,2137,28523,0.06969993476842792,0.08610098487442347,0.10090152872528402,0.15862422804397913,0.0023477248429738164,INST_COUNT,False
"(-inf, 675000.0]",247130,20125,227005,0.0814348723343989,0.8106785361825543,0.8030291506669048,-0.009480580495086035,7.252061511905953e-05,PREV_CREDIT_MAX,False
"(675000.0, inf]",60381,4700,55681,0.07783905533197528,0.18934160439870296,0.1969726180769156,0.03951191024064195,0.000301515927498649,PREV_CREDIT_MAX,False
"(-inf, 0.9905]",153756,14324,139432,0.0931605921069747,0.5770075124368089,0.49324074549014546,-0.15685790382869774,0.013139479473760674,INST_PAYMENT_RATIO_MIN,False
"(0.9905, 0.99972]",30753,2315,28438,0.07527720872760381,0.09327103180197781,0.1006008422758073,0.07565105494803587,0.000554507894914364,INST_PAYMENT_RATIO_MIN,False
"(0.99972, 0.99988]",61500,4366,57134,0.07099186991869919,0.17588769611891,0.202112587619147,0.1389792054440838,0.0036447145835602434,INST_PAYMENT_RATIO_MIN,False
"(0.99988, 0.99992]",30751,2049,28702,0.06663197944782283,0.08255624257316066,0.10153473901300557,0.2069212069822145,0.00392705339004037,INST_PAYMENT_RATIO_MIN,False
"(0.99992, inf]",30751,1771,28980,0.05759162303664921,0.07135807939417131,0.10251816057717648,0.36232938565707323,0.011290213072062792,INST_PAYMENT_RATIO_MIN,False
"(-inf, 46806.75]",61503,6192,55311,0.1006780157065509,0.2494410988701134,0.19566374764978164,-0.24282519791406365,0.01305849595337117,BUREAU_CREDIT_SUM_MEAN,False
"(46806.75, 417968.646]",184506,14451,170055,0.07832265617378296,0.5821232200761314,0.6015692295175044,0.03285947991788916,0.0006389857567218784,BUREAU_CREDIT_SUM_MEAN,False
"(417968.646, 699225.188]",30751,2359,28392,0.0767129524243114,0.09504340295260921,0.10043811784432578,0.05520813455799897,0.00029783214564392925,BUREAU_CREDIT_SUM_MEAN,False
"(699225.188, inf]",30751,1823,28928,0.05928262495528601,0.07345269984491752,0.10233421121984955,0.3316023780444716,0.009577177853445917,BUREAU_CREDIT_SUM_MEAN,False
"(-inf, 4.725]",215261,17919,197342,0.08324313275512053,0.7218182916758977,0.6980966547748124,-0.0334158665734629,0.0007926790535908005,CREDIT_INCOME_RATIO,False
"(4.725, 5.769]",30751,2445,28306,0.07950960944359534,0.09850758292884333,0.10013389390720816,0.01637470021648777,2.663035472950695e-05,CREDIT_INCOME_RATIO,False
"(5.769, 7.487]",30783,2289,28494,0.0743592242471494,0.0922237215766047,0.10079894158369784,0.08891047403858085,0.0007624268758157737,CREDIT_INCOME_RATIO,False
"(7.487, inf]",30716,2172,28544,0.07071233233493944,0.08751082556242573,0.10097581596574297,0.14311853586155437,0.0019270897119126435,CREDIT_INCOME_RATIO,False
"(-inf, 0.90469]",61503,6255,55248,0.101702355982635,0.25197881210851747,0.19544088592840478,-0.2540870451086323,0.014365554599674816,INST_PAYMENT_RATIO_MEAN,False
"(0.90469, 0.95401]",30751,3013,27738,0.09798055347793568,0.12138728323699421,0.09812460092717551,-0.2127480130976774,0.004949089440736418,INST_PAYMENT_RATIO_MEAN,False
"(0.95401, 0.99975]",61502,5340,56162,0.08682644466846606,0.21512154840788705,0.1986741496321897,-0.07953716619269509,0.0013081794898601692,INST_PAYMENT_RATIO_MEAN,False
"(0.99975, 0.99985]",30751,2435,28316,0.07918441676693441,0.09810477130369982,0.10016926878361719,0.020825440311503976,4.299406904126953e-05,INST_PAYMENT_RATIO_MEAN,False
"(0.99985, 0.9999]",30751,2192,28559,0.07128223472407401,0.08831644881271274,0.1010288782803565,0.13448002600977185,0.001709567845456124,INST_PAYMENT_RATIO_MEAN,False
"(0.9999, 0.99993]",30751,1971,28780,0.06409547656986765,0.07941431189704135,0.10181066304899597,0.24843624110722137,0.005564065294708994,INST_PAYMENT_RATIO_MEAN,False
"(0.99993, inf]",61502,3619,57883,0.05884361484179376,0.14579766772069042,0.20476216586218302,0.3396293160804331,0.020026072176821102,INST_PAYMENT_RATIO_MEAN,False
"(-inf, 0.8]",92254,7533,84721,0.08165499598933379,0.303458137801857,0.29970125916872575,-0.012457493781717623,4.680129221090014e-05,PREV_CREDIT_APP_RATIO,False
"(0.8, 22500.365]",184506,14910,169596,0.08081038015023902,0.6006122736702181,0.5999455226903301,-0.0011107354439055513,7.405839456203565e-07,PREV_CREDIT_APP_RATIO,False
"(22500.365, inf]",30751,2382,28369,0.07746089558063153,0.09596986969043926,0.10035675562858502,0.04469710882690151,0.0001960811181885051,PREV_CREDIT_APP_RATIO,False
"(-inf, 366.0]",61521,6763,54758,0.10992994262121877,0.27244164266580734,0.19370751698436253,-0.3410750588005203,0.026854246546406342,BUREAU_DAYS_CREDIT_MAX,False
"(366.0, 802.0]",30742,3201,27541,0.10412465031552924,0.12896014178969206,0.0974277158619177,-0.2803926509698658,0.008841460497399584,BUREAU_DAYS_CREDIT_MAX,False
"(802.0, 1188.0]",30742,2696,28046,0.08769761238696246,0.10861815471994522,0.0992141471205735,-0.09055794783672073,0.00085160762964003,BUREAU_DAYS_CREDIT_MAX,False
"(1188.0, 1544.0]",30752,2531,28221,0.08230359001040582,0.10197176290507744,0.09983320745773144,-0.021195072665494655,4.532683810568777e-05,BUREAU_DAYS_CREDIT_MAX,False
"(1544.0, 1963.0]",30770,2188,28582,0.07110822229444264,0.08815532416265534,0.10111024049609726,0.1371111057438147,0.0017762629032968276,BUREAU_DAYS_CREDIT_MAX,False
"(1963.0, 2391.0]",30790,1991,28799,0.06466385189996753,0.08021993514732835,0.10187787531417312,0.23900274319916123,0.005176307111919201,BUREAU_DAYS_CREDIT_MAX,False
"(2391.0, 2610.0]",30743,1876,28867,0.06102202127313535,0.07558760145817808,0.1021184244737545,0.30084089620957516,0.007981556573183632,BUREAU_DAYS_CREDIT_MAX,False
"(2610.0, 2786.0]",30891,1832,29059,0.05930529927810689,0.07381523030754668,0.10279762210080778,0.33119713839294346,0.009598885225711206,BUREAU_DAYS_CREDIT_MAX,False
"(2786.0, inf]",30560,1747,28813,0.05716623036649215,0.07039133149382691,0.10192740014114576,0.3701906731457507,0.01167435848092157,BUREAU_DAYS_CREDIT_MAX,False
"(-inf, -9932.0]",30753,1725,29028,0.05609208857672422,0.0695051459185112,0.1026879599839398,0.39029408341878363,0.012951056000922376,DAYS_REGISTRATION,False
"(-9932.0, -8230.0]",30754,2037,28717,0.06623528646680106,0.08207286862298846,0.10158780132761912,0.21331596786318138,0.004162846757673141,DAYS_REGISTRATION,False
"(-8230.0, -6776.0]",30753,2231,28522,0.07254576789256333,0.0898874141507724,0.10089799123764312,0.11555208535983967,0.001272295143403181,DAYS_REGISTRATION,False
"(-6776.0, -5459.0]",30761,2435,28326,0.07915867494554793,0.09810477130369982,0.10020464366002621,0.021178528958075985,4.4472207506721655e-05,DAYS_REGISTRATION,False
"(-5459.0, -1491.0]",123027,10635,112392,0.08644443902557974,0.4284103039213712,0.39758707968014034,-0.07466741190826266,0.002301490380760731,DAYS_REGISTRATION,False
"(-1491.0, -690.0]",30739,2780,27959,0.09043885617619311,0.11200177237115064,0.09890638569581497,-0.12434089217068611,0.0016282920625313513,DAYS_REGISTRATION,False
"(-690.0, inf]",30724,2982,27742,0.09705767478192943,0.12013856719904936,0.09813875087773911,-0.20226350063871262,0.004449759862556896,DAYS_REGISTRATION,False
"(-inf, 0.0]",110860,9940,100920,0.0896626375608876,0.4004148959738978,0.3570050214637063,-0.11475140207568837,0.004981343963974163,PREV_DOWN_PAY_RATIO,False
"(0.0, 0.0535]",42896,3641,39255,0.08487970906378217,0.1466838532960061,0.13886584608745023,-0.054771281917165904,0.0004282022768502495,PREV_DOWN_PAY_RATIO,False
